Configuration,grade1,grade2,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll ', '', '57', '3', 'scatter']",0.23772,270.49594,9.49594,64.30302,77.50141,8.25689,182.0,79.0,22.72662
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll ', '', '57', '4', 'scatter']",0.32617,274.56528,13.56528,89.55395,78.76311,8.25691,182.0,79.0,22.49545
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=2 ', '-unroll=0 ', '', '19', '2', 'scatter']",0.11994,228.00759,5.00759,27.34744,50.0095,8.25683,148.0,75.0,35.42866
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=2 ', '-unroll=0 ', '', '19', '3', 'scatter']",0.22879,226.11633,6.11633,51.73238,62.93534,8.25684,152.0,68.0,28.15231
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=2 ', '-unroll=0 ', '', '19', '4', 'scatter']",0.27725,226.71531,8.71531,62.85587,54.25282,8.25685,150.0,68.0,32.65782
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=2 ', '-unroll=0 ', '', '38', '2', 'scatter']",0.21499,246.03739,5.03739,52.89669,96.73853,8.25684,169.0,72.0,18.31513
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=2 ', '-unroll=0 ', '', '38', '3', 'scatter']",0.2745,256.35103,7.35103,70.36837,85.28896,8.25686,175.0,74.0,20.77393
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=2 ', '-unroll=0 ', '', '38', '4', 'scatter']",0.3272,257.61708,11.61708,84.29171,74.1836,8.25688,171.0,75.0,23.88392
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=2 ', '-unroll=0 ', '', '57', '2', 'scatter']",0.24754,280.47165,5.47165,69.42893,126.46377,8.25686,197.0,78.0,13.88693
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=2 ', '-unroll=0 ', '', '57', '3', 'scatter']",0.23665,270.60533,9.60533,64.04001,77.16603,8.25689,183.0,78.0,22.82539
